merchant_id,payment_month,mtu_type,txn_count,gmv,churn_month
8aq2IYq11F9Tad,2021-10-01,Retained,35,179380.0,
8aq2IYq11F9Tad,2021-11-01,Retained,23,99810.0,
Bp6YrwdhhIWZGO,2021-10-01,Retained,1,1.0,
Bsu5Tw6Z1KcrUU,2023-07-01,Retained,2,400000.0,2023-08-01
DMW1oA4sv8wXWR,2021-12-01,Retained,62,64696.82,
DMW1oA4sv8wXWR,2023-05-01,Retained,26,21982.0,
Dss83UXH3Y59hf,2021-10-01,Retained,5,82401.64,
Dss83UXH3Y59hf,2021-11-01,Retained,3,12095.2,
Dss83UXH3Y59hf,2023-04-01,Retained,5,32007.96,
E4GAPtPDRn9BPF,2021-12-01,Retained,11,101300.0,
E4GAPtPDRn9BPF,2023-05-01,Retained,2,1200.0,
E8DKVsGpVo0Nki,2021-10-01,Retained,91928,496662539.35,
E8DKVsGpVo0Nki,2021-12-01,Retained,135934,845753716.61,
E8DKVsGpVo0Nki,2023-05-01,Retained,630213,5294146654.01,
EO4ZN92yI0Yuax,2022-05-01,Revived,1,400.0,2022-06-01
Eqgijm0sDaMN3t,2021-11-01,Retained,14,48912.0,
DP2jLzkk7wJpXm,2022-06-01,Retained,15,11335.0,
DP2jLzkk7wJpXm,2022-12-01,Retained,11,7877.0,
DPtgN1fpyH6qG8,2023-01-01,Retained,1,16990.0,
DgHD1YmnpXyIgl,2022-02-01,New,1,5.0,2022-03-01
E5CTyAnIQVAJae,2021-12-01,Revived,3,19996.0,2022-01-01
ECEkYCv969C11X,2021-10-01,New,3,9221.0,
EOTvqGVQelUqP3,2022-08-01,Revived,3,33102.99,2022-09-01
EU3diTtaEc6h04,2021-12-01,Retained,18,41398.0,
Ej3UpHP1fjT2h2,2021-10-01,Retained,1353,422330.18,
FE00xeXfphVZiQ,2021-12-01,Retained,250,979485.0,
FEuiyYouDNgfQ1,2021-12-01,Retained,309,167428.0,
FInO1ujyqHfikM,2023-03-01,Revived,4,181.0,
FJpLn2V2xxAnL3,2021-12-01,Retained,1,10600.0,
FLWCtG7APP8MLI,2021-10-01,Retained,13,39852.0,
FLWCtG7APP8MLI,2022-06-01,Retained,4,28462.5,
FLWCtG7APP8MLI,2022-12-01,Retained,1,1990.0,
FVK7cOPQtLrAWM,2021-10-01,New,9,173400.0,
FhbJ9G6V5eFjSF,2021-10-01,Retained,37,34587.35,
FhbJ9G6V5eFjSF,2022-06-01,Retained,27,26535.65,
FhbJ9G6V5eFjSF,2022-12-01,Retained,47,75193.4,
FvQV9bpVKZP09e,2021-10-01,Retained,15,56616.11,
FvQV9bpVKZP09e,2023-04-01,Retained,20,504043.99,
FvQV9bpVKZP09e,2023-05-01,Retained,19,537477.69,
Fx9FXFctf5y21Y,2022-11-01,New,1,50.0,2022-12-01
C0Ezdk4PCi534M,2022-06-01,Revived,1,458.88,2022-07-01
Cg728zuO5TQV07,2022-07-01,Revived,1,1750.0,2022-08-01
Bmp6838bCZusvx,2022-03-01,Retained,1,1479.0,2022-04-01
CDYOHCXNlX6v18,2021-08-01,Retained,70,23714.0,
CDYOHCXNlX6v18,2022-02-01,Retained,3,1059.0,
CQqdoxM8OAMsoQ,2022-01-01,Revived,1,1.0,2022-02-01
D3p1VGFdTzBLUs,2022-10-01,Revived,1,449.0,2022-11-01
CLmXTXGtyHdSE2,2022-07-01,Retained,1,2700.0,2022-08-01
CStZx8S3uxQfiC,2022-02-01,Retained,6366,3736868.75,
CStZx8S3uxQfiC,2022-11-01,Retained,3276,1940706.16,
CuF7YxmsGtmgfb,2022-09-01,Retained,5,8130.0,
CuF7YxmsGtmgfb,2022-10-01,Retained,3,6550.0,
D4zeggM4gLEJsU,2022-03-01,Retained,137,346594.91,
D4zeggM4gLEJsU,2023-06-01,Retained,368,774947.13,
CHbi81tY3vhoIM,2022-04-01,Retained,3,102320.98,2022-05-01
CdIvmnjEh03uwz,2022-01-01,Retained,40,34750.0,2022-02-01
CoKtoMKi4Cmapg,2022-01-01,Retained,148,2122700.0,
CtSzWy6bFUGlPZ,2021-07-01,New,1,100.0,2021-08-01
8ZgDC1neVZ2K11,2022-09-01,Revived,2,49750.0,2022-10-01
8sy8LH9GD4DBFH,2021-08-01,Retained,150,215977.3,
GUbIaVmfACit7j,2021-07-01,New,4,0.0,
GUbIaVmfACit7j,2022-03-01,Retained,7,0.0,
GUbIaVmfACit7j,2022-05-01,Retained,12,0.0,
IX29U7DJWwr9Em,2022-02-01,Retained,8,65250.0,
Iemcoh72CYQ4mM,2023-04-01,Revived,1,399.2,2023-05-01
Ii3xm7OGEuWAXf,2022-09-01,Retained,2,4900.0,
Ii3xm7OGEuWAXf,2023-06-01,Retained,24,22951.0,
HYPWfvQZC68jdP,2022-05-01,Revived,2,7.0,
HYPWfvQZC68jdP,2022-09-01,Retained,1,8.0,
HYmm7Y1YHipzwh,2021-07-01,New,1,37.0,2021-08-01
Hh1WnWgXVRGtHf,2022-10-01,Revived,2,69500.0,
Hh2K4mfej24pZJ,2021-08-01,New,1,100.0,
HicQsirSPk9rTv,2021-08-01,New,1,10.0,2021-09-01
Hj1ugGlQ2r83Gu,2021-09-01,New,7,52124.0,
HmmrUSYvhIJaIF,2021-09-01,Retained,7,22560.0,2021-10-01
Hwr6YSOwEcxnlP,2022-01-01,Retained,1,60000.0,
Hwr6YSOwEcxnlP,2022-02-01,Retained,6,606249.7,
I3x3irW9lzYggt,2023-01-01,Revived,1,500.0,2023-02-01
I5hUg6HJKo3WD2,2022-01-01,Retained,16,8146.0,
I5uA9wlHykaMK8,2022-02-01,Revived,9,123500.0,
I5uA9wlHykaMK8,2022-11-01,Retained,12,292046.32,
ID2OFsjHZJMlv3,2022-05-01,Retained,1,499.0,
I9vVG3dFnD03DP,2022-11-01,Retained,89,881098.54,
B9XpGN6WinnB20,2022-06-01,Revived,1,379.0,2022-07-01
BySypqcmzbv5hb,2022-02-01,Retained,38,57527.0,
IeL11q32qsPvlH,2022-01-01,New,19,19834.0,
IeL11q32qsPvlH,2022-02-01,Retained,17,21443.0,
Ieac1NgheZu7uz,2022-01-01,New,1,1500.0,2022-02-01
Ifg6RT11iVSb8D,2023-01-01,Retained,1,3000.0,2023-02-01
IlAzlmygQexj0Y,2022-05-01,New,5,10.2,
IlYrh293sBFPQL,2022-02-01,New,1,1000.0,
IpEQskjOmcZfGA,2022-03-01,Retained,16,8669.92,
IpEQskjOmcZfGA,2022-05-01,Retained,9,3545.6,
IpEQskjOmcZfGA,2022-09-01,Retained,3,1756.34,
It58PETtL6Dxgq,2023-05-01,Revived,1,1637.65,2023-06-01
J2VBzPbvkNSUGl,2022-09-01,Retained,12,157850.52,
J2fxlWf3q44ePf,2022-03-01,New,1,1.0,2022-04-01
J6ce37dSmyYhzD,2022-03-01,New,3,298.0,2022-04-01
JCXoFsRy50S61y,2022-09-01,Revived,1,46000.0,2022-10-01
JCnWppTenUDvwM,2022-05-01,Retained,83,94969.0,
GRtzOvoqJ7wXVK,2023-04-01,Retained,3,22532.0,2023-05-01
GSJT4F9Y7BsvyO,2022-02-01,Revived,1,1070.0,
GUKRVeiMHy6F2N,2021-07-01,New,1,499.0,2021-08-01
KS9D165fCeK4QA,2022-11-01,Retained,4,140.0,
KZEZxvuPxLbghg,2023-04-01,New,2,16.0,2023-05-01
KfpS0VbTpzdyy1,2023-06-01,Retained,3,1197.0,
Ji6e0O4n7yAtIL,2022-11-01,Retained,183,54717.0,
Js6dw56Y2KYSwq,2022-09-01,Retained,198,756277.58,
Ju7BAXcYYHxHJ2,2022-09-01,Retained,1,15000.0,
KHIkR0qv2o4Q7t,2023-01-01,Retained,3,249.0,2023-02-01
KI4Mcf2KdRdJmR,2022-11-01,Retained,12,11000.0,
